,GesamtEnergie
 20220509_16_38_35.wav,3.681395901367068e-05
 20220509_16_38_41.wav,3.101642869296484e-05
 20220509_16_38_44.wav,4.843012357014231e-05
 20220509_16_38_47.wav,5.103902367409319e-05
 20220509_16_38_50.wav,6.39879290247336e-05
 20220509_16_38_53.wav,3.969903991674074e-05
 20220509_16_38_56.wav,2.8901671612402424e-05
 20220509_16_39_00.wav,1.4294900211098138e-05
 20220509_16_39_03.wav,1.9370416339370422e-05
 20220509_16_39_06.wav,2.6119130779989064e-05
 20220509_16_39_09.wav,5.06343822053168e-05
 20220509_16_39_12.wav,2.9574355721706524e-05
 20220509_16_39_15.wav,4.458814510144293e-05
 20220509_16_39_18.wav,7.704875315539539e-05
 20220509_16_39_21.wav,3.685167757794261e-05
 20220509_16_39_24.wav,3.5842895158566535e-05
 20220509_16_39_30.wav,1.2336980034888256e-05
 20220509_16_39_33.wav,1.4446058230532797e-05
 20220509_16_39_36.wav,1.6597865396761335e-05
 20220509_16_39_39.wav,4.484897726797499e-05
 20220509_16_39_56.wav,3.087321965722367e-05
 20220509_16_39_59.wav,1.2722214705718216e-05
 20220509_16_40_02.wav,1.0866157026612198e-05
 20220509_16_40_05.wav,1.884463199530728e-05
 20220509_16_40_08.wav,6.406338070519269e-05
 20220509_16_40_11.wav,3.152165299979969e-05
 20220509_16_40_14.wav,3.992204801761545e-05
 20220509_16_40_17.wav,4.982306927558966e-05
 20220509_16_40_20.wav,4.283898670109921e-05
 20220509_16_40_23.wav,1.8367556549492292e-05
 20220509_16_40_26.wav,1.728415554680396e-05
 20220509_16_40_29.wav,1.1808312592620496e-05
 20220509_16_40_32.wav,1.3625805877381934e-05
 20220509_16_40_36.wav,2.4010587367229164e-05
 20220509_16_40_42.wav,2.2216378056327812e-05
 20220509_16_40_45.wav,1.8760472812573425e-05
 20220509_16_40_48.wav,4.2315507016610354e-05
 20220509_16_40_51.wav,2.0494650016189553e-05
 20220509_16_40_54.wav,2.680783290998079e-05
 20220509_16_41_00.wav,1.291756871069083e-05
 20220509_16_41_03.wav,1.2072543540853076e-05
 20220509_16_41_06.wav,2.2610371161135845e-05
 20220509_16_41_09.wav,3.263830149080604e-05
 20220509_16_41_12.wav,2.8497164748841893e-05
 20220509_16_41_15.wav,8.555650128982961e-05
 20220509_16_41_19.wav,3.510819442453794e-05
 20220509_16_41_22.wav,4.7963505494408316e-05
 20220509_16_41_25.wav,2.6893023459706455e-05
 20220509_16_41_31.wav,1.812928167055361e-05
 20220509_16_41_34.wav,1.573432018631138e-05
 20220509_16_41_40.wav,5.95511810388416e-05
 20220509_16_42_00.wav,1.9349765352671966e-05
 20220509_16_42_03.wav,1.527311178506352e-05
 20220509_16_42_06.wav,2.6762594643514603e-05
 20220509_16_42_09.wav,3.309804014861584e-05
 20220509_16_42_12.wav,4.5024647988611825e-05
 20220509_16_42_15.wav,2.2598418581765145e-05
 20220509_16_42_18.wav,3.069887316087261e-05
 20220509_16_42_21.wav,2.0948107703588903e-05
 20220509_16_42_24.wav,1.8088809156324714e-05
 20220509_16_42_27.wav,4.45836631115526e-05
 20220509_16_42_31.wav,1.699986205494497e-05
 20220509_16_42_34.wav,2.4828648747643456e-05
 20220509_16_42_40.wav,2.6424790121382102e-05
 20220509_16_42_43.wav,4.396868098410778e-05
 20220509_16_42_46.wav,5.864648846909403e-05
 20220509_16_42_49.wav,5.53178833797574e-05
 20220509_16_42_52.wav,3.159043990308419e-05
 20220509_16_42_55.wav,3.3735752367647365e-05
 20220509_16_43_01.wav,2.3747856175759807e-05
 20220509_16_43_04.wav,2.0011551896459423e-05
 20220509_16_43_08.wav,5.647393845720217e-05
 20220509_16_43_11.wav,6.392028444679454e-05
 20220509_16_43_14.wav,7.517876656493172e-05
 20220509_16_43_17.wav,6.540270987898111e-05
 20220509_16_43_20.wav,3.725854185177013e-05
 20220509_16_43_23.wav,4.8046520532807335e-05
 20220509_16_43_26.wav,3.365876546013169e-05
 20220509_16_43_29.wav,5.064332071924582e-05
 20220509_16_43_32.wav,1.737693128234241e-05
 20220509_16_43_35.wav,1.604175486136228e-05
 20220509_16_43_41.wav,2.6907098799711093e-05
 20220509_16_44_01.wav,2.8064952857675966e-05
 20220509_16_44_04.wav,3.2610929338261485e-05
 20220509_16_44_07.wav,8.373022865271194e-05
 20220509_16_44_10.wav,5.146353942109272e-05
 20220509_16_44_16.wav,8.544488810002804e-05
 20220509_16_44_19.wav,5.206948844715953e-05
 20220509_16_44_22.wav,3.476603524177335e-05
 20220509_16_44_25.wav,3.120728433714248e-05
 20220509_16_44_28.wav,4.208758036838844e-05
 20220509_16_44_31.wav,1.6735162716940977e-05
 20220509_16_44_34.wav,1.8930313672171906e-05
 20220509_16_44_40.wav,3.697198917507193e-05
 20220509_16_44_43.wav,5.030159809393808e-05
 20220509_16_44_46.wav,5.882231562281958e-05
 20220509_16_44_49.wav,5.459493695525453e-05
 20220509_16_44_52.wav,3.0434821383096278e-05
 20220509_16_44_55.wav,3.1366809707833454e-05
 20220509_16_45_01.wav,2.088179280690383e-05
 20220509_16_45_04.wav,1.955256266228389e-05
 20220509_16_45_10.wav,5.4561649449169636e-05
 20220509_16_45_13.wav,7.844190986361355e-05
 20220509_16_45_16.wav,6.741963443346322e-05
 20220509_16_45_19.wav,3.709722659550607e-05
 20220509_16_45_22.wav,4.0073591662803665e-05
 20220509_16_45_26.wav,3.5574284993344925e-05
 20220509_16_45_29.wav,7.237532554427162e-05
 20220509_16_45_32.wav,2.5205239580827765e-05
 20220509_16_45_35.wav,1.5074134353199042e-05
 20220509_16_45_41.wav,4.592528057401068e-05
 20220509_16_46_00.wav,1.7037791621987708e-05
 20220509_16_46_03.wav,1.6297319234581664e-05
 20220509_16_46_06.wav,2.2496205929201096e-05
